Date,AAPL,AMZN,BABA,IBM,MA,MSFT,NKE,NVDA,ORCL,TSLA
2022-06-21,135.8699951171875,108.68000030517578,106.38999938964844,137.85000610351562,316.91424560546875,253.74000549316406,108.68000030517578,165.66000366210938,67.37865447998047,711.1099853515625
2022-06-22,135.35000610351562,108.94999694824219,105.1500015258789,137.0800018310547,315.6661682128906,253.1300048828125,104.91999816894531,163.60000610351562,66.23377990722656,708.260009765625
2022-06-23,138.27000427246094,112.44000244140625,112.11000061035156,138.44000244140625,316.2752380371094,258.8599853515625,108.0,162.25,67.3288803100586,705.2100219726562
2022-06-24,141.66000366210938,116.45999908447266,117.62000274658203,142.05999755859375,329.99420166015625,267.70001220703125,112.91000366210938,171.25999450683594,70.38520812988281,737.1199951171875
2022-06-27,141.66000366210938,113.22000122070312,118.7300033569336,142.8000030517578,328.3267517089844,264.8900146484375,110.5,168.69000244140625,70.09650421142578,734.760009765625
2022-06-28,137.44000244140625,107.4000015258789,116.76000213623047,141.86000061035156,317.8028869628906,256.4800109863281,102.77999877929688,159.82000732421875,68.27465057373047,697.989990234375
2022-06-29,139.22999572753906,108.91999816894531,116.02999877929688,140.7100067138672,322.0963134765625,260.260009765625,103.25,155.4199981689453,68.90184020996094,685.469970703125
2022-06-30,136.72000122070312,106.20999908447266,113.68000030517578,141.19000244140625,314.9971923828125,256.8299865722656,102.19999694824219,151.58999633789062,69.55890655517578,673.4199829101562
2022-07-01,138.92999267578125,109.55999755859375,116.0,141.1199951171875,317.7529602050781,259.5799865722656,101.18000030517578,145.22999572753906,70.55445861816406,681.7899780273438
2022-07-05,141.55999755859375,113.5,120.12999725341797,137.6199951171875,318.77142333984375,262.8500061035156,104.31999969482422,149.63999938964844,71.66946411132812,699.2000122070312
2022-07-06,142.9199981689453,114.33000183105469,119.12000274658203,138.0800018310547,319.6800231933594,266.2099914550781,104.2300033569336,151.3000030517578,71.3409423828125,695.2000122070312
2022-07-07,146.35000610351562,116.33000183105469,122.38999938964844,140.8300018310547,324.07000732421875,268.3999938964844,108.12999725341797,158.5800018310547,71.51017761230469,733.6300048828125
2022-07-08,147.0399932861328,115.54000091552734,120.9000015258789,140.47000122070312,323.05999755859375,267.6600036621094,107.93000030517578,158.3800048828125,71.55000305175781,752.2899780273438
2022-07-11,144.8699951171875,111.75,109.56999969482422,141.0,324.19000244140625,264.510009765625,105.11000061035156,151.52000427246094,71.56999969482422,703.030029296875
